freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,TOTAL,KM2,ITC49	783 	783 	783 	783 	783 	783 	783 	783 	783 	783 	783 	783 
A,TOTAL,KM2,ITC4A	1770 	1770 	1770 	1770 	1770 	1770 	1770 	1770 	1770 	1770 	1770 	1770 
A,TOTAL,KM2,ITC4B	2341 	2341 	2341 	2341 	2341 	2341 	2341 	2341 	2341 	2341 	2341 	2341 
A,TOTAL,KM2,ITC4C	1576 	1576 	1576 	1576 	1576 	1576 	1576 	1576 	1576 	1576 	1576 	1576 
A,TOTAL,KM2,ITC4D	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 
A,TOTAL,KM2,ITF	73800 	73800 	73800 	73800 	73800 	73800 	73800 	73800 	73800 	73800 	73800 	73800 
A,TOTAL,KM2,ITF1	10833 	10833 	10833 	10833 	10833 	10833 	10833 	10833 	10833 	10833 	10833 	10833 
A,TOTAL,KM2,ITF11	5049 	5049 	5049 	5049 	5049 	5049 	5049 	5049 	5049 	5049 	5049 	5049 
A,TOTAL,KM2,ITF12	1954 	1954 	1954 	1954 	1954 	1954 	1954 	1954 	1954 	1954 	1954 	1954 
A,TOTAL,KM2,ITF13	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 
A,TOTAL,KM2,ITF14	2600 	2600 	2600 	2600 	2600 	2600 	2600 	2600 	2600 	2600 	2600 	2600 
A,TOTAL,KM2,ITF2	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 	4461 
A,TOTAL,KM2,ITF21	1535 	1535 	1535 	1535 	1535 	1535 	1535 	1535 	1535 	1535 	1535 	1535 
A,TOTAL,KM2,ITF22	2926 	2926 	2926 	2926 	2926 	2926 	2926 	2926 	2926 	2926 	2926 	2926 
A,TOTAL,KM2,ITF3	13670 	13670 	13670 	13670 	13670 	13670 	13670 	13670 	13670 	13670 	13670 	13670 
A,TOTAL,KM2,ITF31	2651 	2651 	2651 	2651 	2651 	2651 	2651 	2651 	2651 	2651 	2651 	2651 
A,TOTAL,KM2,ITF32	2080 	2080 	2080 	2080 	2080 	2080 	2080 	2080 	2080 	2080 	2080 	2080 
A,TOTAL,KM2,ITF33	1179 	1179 	1179 	1179 	1179 	1179 	1179 	1179 	1179 	1179 	1179 	1179 
A,TOTAL,KM2,ITF34	2806 	2806 	2806 	2806 	2806 	2806 	2806 	2806 	2806 	2806 	2806 	2806 
A,TOTAL,KM2,ITF35	4954 	4954 	4954 	4954 	4954 	4954 	4954 	4954 	4954 	4954 	4954 	4954 
A,TOTAL,KM2,ITF4	19541 	19541 	19541 	19541 	19541 	19541 	19541 	19541 	19541 	19541 	19541 	19541 
A,TOTAL,KM2,ITF43	2467 	2467 	2467 	2467 	2467 	2467 	2467 	2467 	2467 	2467 	2467 	2467 
A,TOTAL,KM2,ITF44	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 
A,TOTAL,KM2,ITF45	2799 	2799 	2799 	2799 	2799 	2799 	2799 	2799 	2799 	2799 	2799 	2799 
A,TOTAL,KM2,ITF46	7008 	7008 	7008 	7008 	7008 	7008 	7008 	7008 	7008 	7008 	7008 	7008 
A,TOTAL,KM2,ITF47	3863 	3863 	3863 	3863 	3863 	3863 	3863 	3863 	3863 	3863 	3863 	3863 
A,TOTAL,KM2,ITF48	1543 	1543 	1543 	1543 	1543 	1543 	1543 	1543 	1543 	1543 	1543 	1543 
A,TOTAL,KM2,ITF5	10073 	10073 	10073 	10073 	10073 	10073 	10073 	10073 	10073 	10073 	10073 	10073 
A,TOTAL,KM2,ITF51	6594 	6594 	6594 	6594 	6594 	6594 	6594 	6594 	6594 	6594 	6594 	6594 
A,TOTAL,KM2,ITF52	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 
A,TOTAL,KM2,ITF6	15222 	15222 	15222 	15222 	15222 	15222 	15222 	15222 	15222 	15222 	15222 	15222 
A,TOTAL,KM2,ITF61	6710 	6710 	6710 	6710 	6710 	6710 	6710 	6710 	6710 	6710 	6710 	6710 
A,TOTAL,KM2,ITF62	1736 	1736 	1736 	1736 	1736 	1736 	1736 	1736 	1736 	1736 	1736 	1736 
A,TOTAL,KM2,ITF63	2415 	2415 	2415 	2415 	2415 	2415 	2415 	2415 	2415 	2415 	2415 	2415 
A,TOTAL,KM2,ITF64	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 
A,TOTAL,KM2,ITF65	3210 	3210 	3210 	3210 	3210 	3210 	3210 	3210 	3210 	3210 	3210 	3210 
A,TOTAL,KM2,ITG	49933 	49933 	49933 	49933 	49933 	49933 	49933 	49933 	49939 	49939 	49939 	49939 
A,TOTAL,KM2,ITG1	25833 	25833 	25833 	25833 	25833 	25833 	25833 	25833 	25833 	25833 	25833 	25833 
A,TOTAL,KM2,ITG11	2470 	2470 	2470 	2470 	2470 	2470 	2470 	2470 	2470 	2470 	2470 	2470 
A,TOTAL,KM2,ITG12	5009 	5009 	5009 	5009 	5009 	5009 	5009 	5009 	5009 	5009 	5009 	5009 
A,TOTAL,KM2,ITG13	3266 	3266 	3266 	3266 	3266 	3266 	3266 	3266 	3266 	3266 	3266 	3266 
A,TOTAL,KM2,ITG14	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 
A,TOTAL,KM2,ITG15	2138 	2138 	2138 	2138 	2138 	2138 	2138 	2138 	2138 	2138 	2138 	2138 
A,TOTAL,KM2,ITG16	2575 	2575 	2575 	2575 	2575 	2575 	2575 	2575 	2575 	2575 	2575 	2575 
A,TOTAL,KM2,ITG17	3574 	3574 	3574 	3574 	3574 	3574 	3574 	3574 	3574 	3574 	3574 	3574 
A,TOTAL,KM2,ITG18	1624 	1624 	1624 	1624 	1624 	1624 	1624 	1624 	1624 	1624 	1624 	1624 
A,TOTAL,KM2,ITG19	2124 	2124 	2124 	2124 	2124 	2124 	2124 	2124 	2124 	2124 	2124 	2124 
A,TOTAL,KM2,ITG2	24100 	24100 	24100 	24100 	24100 	24100 	24100 	24100 	24106 	24106 	24106 	24106 
A,TOTAL,KM2,ITG25	4286 	4286 	4286 	4286 	4286 	4286 	4286 	4286 	: z	: z	: z	: z
A,TOTAL,KM2,ITG26	3932 	3932 	3932 	3932 	3932 	3932 	3932 	3932 	: z	: z	: z	: z
A,TOTAL,KM2,ITG27	4570 	4570 	4570 	4570 	4570 	4570 	4570 	4570 	: z	: z	: z	: z
A,TOTAL,KM2,ITG28	3034 	3034 	3034 	3034 	3034 	3034 	3034 	3034 	: z	: z	: z	: z
A,TOTAL,KM2,ITG29	3406 	3406 	3406 	3406 	3406 	3406 	3406 	3406 	: z	: z	: z	: z
A,TOTAL,KM2,ITG2A	1855 	1855 	1855 	1855 	1855 	1855 	1855 	1855 	: z	: z	: z	: z
A,TOTAL,KM2,ITG2B	1517 	1517 	1517 	1517 	1517 	1517 	1517 	1517 	: z	: z	: z	: z
A,TOTAL,KM2,ITG2C	1500 	1500 	1500 	1500 	1500 	1500 	1500 	1500 	: z	: z	: z	: z
A,TOTAL,KM2,ITG2D	: z	: z	: z	: z	: z	: z	: z	: z	7689 	7689 	7689 	7689 
A,TOTAL,KM2,ITG2E	: z	: z	: z	: z	: z	: z	: z	: z	5642 	5642 	5642 	5642 
A,TOTAL,KM2,ITG2F	: z	: z	: z	: z	: z	: z	: z	: z	1248 	1248 	1248 	1248 
A,TOTAL,KM2,ITG2G	: z	: z	: z	: z	: z	: z	: z	: z	2992 	2992 	2992 	2992 
A,TOTAL,KM2,ITG2H	: z	: z	: z	: z	: z	: z	: z	: z	6535 	6535 	6535 	6535 
A,TOTAL,KM2,ITH	62327 	62327 	62327 	62327 	62327 	62327 	62327 	62327 	62327 	62327 	62327 	62382 
A,TOTAL,KM2,ITH1	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 
A,TOTAL,KM2,ITH10	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 	7398 
A,TOTAL,KM2,ITH2	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 
A,TOTAL,KM2,ITH20	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 	6207 
A,TOTAL,KM2,ITH3	18407 	18407 	18407 	18407 	18407 	18407 	18407 	18407 	18407 	18407 	18407 	18407 
A,TOTAL,KM2,ITH31	3096 	3096 	3096 	3096 	3096 	3096 	3096 	3096 	3096 	3096 	3096 	3096 
A,TOTAL,KM2,ITH32	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 	2723 
A,TOTAL,KM2,ITH33	3672 	3672 	3672 	3672 	3672 	3672 	3672 	3672 	3672 	3672 	3672 	3672 
A,TOTAL,KM2,ITH34	2480 	2480 	2480 	2480 	2480 	2480 	2480 	2480 	2480 	2480 	2480 	2480 
A,TOTAL,KM2,ITH35	2473 	2473 	2473 	2473 	2473 	2473 	2473 	2473 	2473 	2473 	2473 	2473 
A,TOTAL,KM2,ITH36	2144 	2144 	2144 	2144 	2144 	2144 	2144 	2144 	2144 	2144 	2144 	2144 
A,TOTAL,KM2,ITH37	1819 	1819 	1819 	1819 	1819 	1819 	1819 	1819 	1819 	1819 	1819 	1819 
A,TOTAL,KM2,ITH4	7862 	7862 	7862 	7862 	7862 	7862 	7862 	7862 	7862 	7862 	7862 	7862 
A,TOTAL,KM2,ITH41	2275 	2275 	2275 	2275 	2275 	2275 	2275 	2275 	2275 	2275 	2275 	2275 
A,TOTAL,KM2,ITH42	4907 	4907 	4907 	4907 	4907 	4907 	4907 	4907 	4907 	4907 	4907 	4907 
A,TOTAL,KM2,ITH43	467 	467 	467 	467 	467 	467 	467 	467 	467 	467 	467 	467 
A,TOTAL,KM2,ITH44	213 	213 	213 	213 	213 	213 	213 	213 	213 	213 	213 	213 
A,TOTAL,KM2,ITH5	22453 	22453 	22453 	22453 	22453 	22453 	22453 	22453 	22453 	22453 	22453 	22508 
A,TOTAL,KM2,ITH51	2586 	2586 	2586 	2586 	2586 	2586 	2586 	2586 	2586 	2586 	2586 	2586 
A,TOTAL,KM2,ITH52	3448 	3448 	3448 	3448 	3448 	3448 	3448 	3448 	3448 	3448 	3448 	3448 
A,TOTAL,KM2,ITH53	2291 	2291 	2291 	2291 	2291 	2291 	2291 	2291 	2291 	2291 	2291 	2291 
A,TOTAL,KM2,ITH54	2688 	2688 	2688 	2688 	2688 	2688 	2688 	2688 	2688 	2688 	2688 	2688 
A,TOTAL,KM2,ITH55	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 	3703 
A,TOTAL,KM2,ITH56	2635 	2635 	2635 	2635 	2635 	2635 	2635 	2635 	2635 	2635 	2635 	2635 
A,TOTAL,KM2,ITH57	1859 	1859 	1859 	1859 	1859 	1859 	1859 	1859 	1859 	1859 	1859 	1859 
A,TOTAL,KM2,ITH58	2378 	2378 	2378 	2378 	2378 	2378 	2378 	2378 	2378 	2378 	2378 	2378 
A,TOTAL,KM2,ITH59	865 	865 	865 	865 	865 	865 	865 	865 	865 	865 	865 	920 
A,TOTAL,KM2,ITI	58085 	58085 	58085 	58085 	58085 	58085 	58085 	58085 	58085 	58085 	58085 	58024 
A,TOTAL,KM2,ITI1	22988 	22988 	22988 	22988 	22988 	22988 	22988 	22988 	22988 	22988 	22988 	22988 
A,TOTAL,KM2,ITI11	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 	1155 
A,TOTAL,KM2,ITI12	1773 	1773 	1773 	1773 	1773 	1773 	1773 	1773 	1773 	1773 	1773 	1773 
A,TOTAL,KM2,ITI13	964 	964 	964 	964 	964 	964 	964 	964 	964 	964 	964 	964 
A,TOTAL,KM2,ITI14	3514 	3514 	3514 	3514 	3514 	3514 	3514 	3514 	3514 	3514 	3514 	3514 
A,TOTAL,KM2,ITI15	366 	366 	366 	366 	366 	366 	366 	366 	366 	366 	366 	366 
A,TOTAL,KM2,ITI16	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 	1214 
A,TOTAL,KM2,ITI17	2445 	2445 	2445 	2445 	2445 	2445 	2445 	2445 	2445 	2445 	2445 	2445 
A,TOTAL,KM2,ITI18	3233 	3233 	3233 	3233 	3233 	3233 	3233 	3233 	3233 	3233 	3233 	3233 
A,TOTAL,KM2,ITI19	3821 	3821 	3821 	3821 	3821 	3821 	3821 	3821 	3821 	3821 	3821 	3821 
A,TOTAL,KM2,ITI1A	4503 	4503 	4503 	4503 	4503 	4503 	4503 	4503 	4503 	4503 	4503 	4503 
A,TOTAL,KM2,ITI2	8464 	8464 	8464 	8464 	8464 	8464 	8464 	8464 	8464 	8464 	8464 	8464 
A,TOTAL,KM2,ITI21	6337 	6337 	6337 	6337 	6337 	6337 	6337 	6337 	6337 	6337 	6337 	6337 
A,TOTAL,KM2,ITI22	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 
A,TOTAL,KM2,ITI3	9401 	9401 	9401 	9401 	9401 	9401 	9401 	9401 	9401 	9401 	9401 	9340 
A,TOTAL,KM2,ITI31	2568 	2568 	2568 	2568 	2568 	2568 	2568 	2568 	2568 	2568 	2568 	2507 
A,TOTAL,KM2,ITI32	1963 	1963 	1963 	1963 	1963 	1963 	1963 	1963 	1963 	1963 	1963 	1963 
A,TOTAL,KM2,ITI33	2779 	2779 	2779 	2779 	2779 	2779 	2779 	2779 	2779 	2779 	2779 	2779 
A,TOTAL,KM2,ITI34	1228 	1228 	1228 	1228 	1228 	1228 	1228 	1228 	1228 	1228 	1228 	1228 
A,TOTAL,KM2,ITI35	863 	863 	863 	863 	863 	863 	863 	863 	863 	863 	863 	863 
A,TOTAL,KM2,ITI4	17232 	17232 	17232 	17232 	17232 	17232 	17232 	17232 	17232 	17232 	17232 	17232 
A,TOTAL,KM2,ITI41	3615 	3615 	3615 	3615 	3615 	3615 	3615 	3615 	3615 	3615 	3615 	3615 
A,TOTAL,KM2,ITI42	2751 	2751 	2751 	2751 	2751 	2751 	2751 	2751 	2751 	2751 	2751 	2751 
A,TOTAL,KM2,ITI43	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 	5363 
A,TOTAL,KM2,ITI44	2256 	2256 	2256 	2256 	2256 	2256 	2256 	2256 	2256 	2256 	2256 	2256 
A,TOTAL,KM2,ITI45	3247 	3247 	3247 	3247 	3247 	3247 	3247 	3247 	3247 	3247 	3247 	3247 
A,TOTAL,KM2,LI	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 
A,TOTAL,KM2,LI0	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 
A,TOTAL,KM2,LI00	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 
A,TOTAL,KM2,LI000	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 
A,TOTAL,KM2,LT	65286 	65286 	65286 	65286 	65286 	65284 	65284 	65284 	65284 	65284 	65284 	65284 
A,TOTAL,KM2,LT0	65286 	65286 	65286 	65286 	65286 	65284 	65284 	65284 	65284 	65284 	65284 	65284 
A,TOTAL,KM2,LT00	65286 	65286 	65286 	65286 	65286 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT001	5418 	5418 	5418 	5418 	5418 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT002	8086 	8086 	8086 	8086 	8086 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT003	5222 	5222 	5222 	5222 	5222 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT004	4465 	4465 	4465 	4465 	4465 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT005	7878 	7878 	7878 	7878 	7878 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT006	8537 	8537 	8537 	8537 	8537 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT007	4408 	4408 	4408 	4408 	4408 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT008	4349 	4349 	4349 	4349 	4349 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT009	7191 	7191 	7191 	7191 	7191 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT00A	9730 	9730 	9730 	9730 	9730 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,LT01	: z	: z	: z	: z	: z	9730 	9730 	9730 	9730 	9730 	9730 	9730 
A,TOTAL,KM2,LT011	: z	: z	: z	: z	: z	9730 	9730 	9730 	9730 	9730 	9730 	9730 
A,TOTAL,KM2,LT02	: z	: z	: z	: z	: z	55554 	55554 	55554 	55554 	55554 	55554 	55554 
A,TOTAL,KM2,LT021	: z	: z	: z	: z	: z	5418 	5418 	5418 	5418 	5418 	5418 	5418 
A,TOTAL,KM2,LT022	: z	: z	: z	: z	: z	8086 	8086 	8086 	8086 	8086 	8086 	8086 
A,TOTAL,KM2,LT023	: z	: z	: z	: z	: z	5222 	5222 	5222 	5222 	5222 	5222 	5222 
A,TOTAL,KM2,LT024	: z	: z	: z	: z	: z	4465 	4465 	4465 	4465 	4465 	4465 	4465 
A,TOTAL,KM2,LT025	: z	: z	: z	: z	: z	7878 	7878 	7878 	7878 	7878 	7878 	7878 
A,TOTAL,KM2,LT026	: z	: z	: z	: z	: z	8537 	8537 	8537 	8537 	8537 	8537 	8537 
A,TOTAL,KM2,LT027	: z	: z	: z	: z	: z	4408 	4408 	4408 	4408 	4408 	4408 	4408 
A,TOTAL,KM2,LT028	: z	: z	: z	: z	: z	4349 	4349 	4349 	4349 	4349 	4349 	4349 
A,TOTAL,KM2,LT029	: z	: z	: z	: z	: z	7191 	7191 	7191 	7191 	7191 	7191 	7191 
A,TOTAL,KM2,LU	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 
A,TOTAL,KM2,LU0	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 
A,TOTAL,KM2,LU00	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 
A,TOTAL,KM2,LU000	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 	2595 
A,TOTAL,KM2,LV	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64594 
A,TOTAL,KM2,LV0	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64594 
A,TOTAL,KM2,LV00	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64586 	64594 
A,TOTAL,KM2,LV003	13603 	13603 	13603 	13603 	13603 	13603 	13603 	13603 	13603 	13603 	13603 	: z
A,TOTAL,KM2,LV005	14547 	14547 	14547 	14547 	14547 	14547 	14547 	14547 	14547 	14547 	14547 	14547 
A,TOTAL,KM2,LV006	304 	304 	304 	304 	304 	304 	304 	304 	304 	304 	304 	: z
A,TOTAL,KM2,LV007	10140 	10140 	10140 	10140 	10140 	10140 	10140 	10140 	10140 	10140 	10140 	: z
A,TOTAL,KM2,LV008	15252 	15252 	15252 	15252 	15252 	15252 	15252 	15252 	15252 	15252 	15252 	: z
A,TOTAL,KM2,LV009	10740 	10740 	10740 	10740 	10740 	10740 	10740 	10740 	10740 	10740 	10740 	10739 
A,TOTAL,KM2,LV00A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3438 
A,TOTAL,KM2,LV00B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16061 
A,TOTAL,KM2,LV00C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19809 
A,TOTAL,KM2,ME	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 
A,TOTAL,KM2,ME0	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 
A,TOTAL,KM2,ME00	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 
A,TOTAL,KM2,ME000	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 	13882 
A,TOTAL,KM2,MK	25435 	25435 	25435 	25435 	25435 	25434 	25434 	25434 	25435 	25435 	25435 	25437 
A,TOTAL,KM2,MK0	25435 	25435 	25435 	25435 	25435 	25434 	25434 	25434 	25435 	25435 	25435 	25437 
A,TOTAL,KM2,MK00	25435 	25435 	25435 	25435 	25435 	25434 	25434 	25434 	25435 	25435 	25435 	25437 
A,TOTAL,KM2,MK001	4063 	4063 	4063 	4063 	4063 	4063 	4063 	4063 	4063 	4063 	4063 	4063 
A,TOTAL,KM2,MK002	3537 	3537 	3537 	3537 	3537 	3537 	3537 	3537 	3537 	3537 	3537 	3537 
A,TOTAL,KM2,MK003	3605 	3605 	3605 	3605 	3605 	3605 	3605 	3605 	3604 	3604 	3604 	3605 
A,TOTAL,KM2,MK004	2766 	2766 	2766 	2766 	2766 	2766 	2766 	2766 	2767 	2767 	2767 	2767 
A,TOTAL,KM2,MK005	4909 	4909 	4909 	4909 	4909 	4909 	4909 	4909 	4910 	4910 	4910 	4910 
A,TOTAL,KM2,MK006	2432 	2432 	2432 	2432 	2432 	2432 	2432 	2432 	2431 	2431 	2431 	2432 
A,TOTAL,KM2,MK007	2309 	2309 	2309 	2309 	2309 	2309 	2309 	2309 	2310 	2310 	2310 	2310 
A,TOTAL,KM2,MK008	1813 	1813 	1813 	1813 	1813 	1813 	1813 	1813 	1813 	1813 	1813 	1813 
A,TOTAL,KM2,MT	315 	315 	315 	315 	315 	316 	316 	316 	316 	316 	316 	316 
A,TOTAL,KM2,MT0	315 	315 	315 	315 	315 	316 	316 	316 	316 	316 	316 	316 
A,TOTAL,KM2,MT00	315 	315 	315 	315 	315 	316 	316 	316 	316 	316 	316 	316 
A,TOTAL,KM2,MT001	247 	247 	247 	247 	247 	247 	247 	247 	247 	247 	247 	247 
A,TOTAL,KM2,MT002	69 	69 	69 	69 	69 	69 	69 	69 	69 	69 	69 	69 
A,TOTAL,KM2,NL	37368 	37368 	37368 	37368 	37368 	37378 	37378 	37378 	37378 	37378 	37378 	37391 
A,TOTAL,KM2,NL1	9080 	9080 	9080 	9080 	9080 	9082 	9082 	9082 	9082 	9082 	9082 	9095 
A,TOTAL,KM2,NL11	2406 	2406 	2406 	2406 	2406 	2405 	2405 	2405 	2405 	2405 	2405 	2405 
A,TOTAL,KM2,NL111	851 	851 	851 	851 	851 	851 	851 	851 	851 	851 	851 	: z
A,TOTAL,KM2,NL112	273 	273 	273 	273 	273 	273 	273 	273 	273 	273 	273 	273 
A,TOTAL,KM2,NL113	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 	1281 	: z
A,TOTAL,KM2,NL114	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	770 p
A,TOTAL,KM2,NL115	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1362 p
A,TOTAL,KM2,NL12	3994 	3994 	3994 	3994 	3994 	3997 	3997 	3997 	3997 	3997 	3997 	4010 
A,TOTAL,KM2,NL121	1684 	1684 	1684 	1684 	1684 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,NL122	1144 	1144 	1144 	1144 	1144 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,NL123	1165 	1165 	1165 	1165 	1165 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,NL124	: z	: z	: z	: z	: z	1606 	1606 	1606 	1606 	1606 	1606 	: z
A,TOTAL,KM2,NL125	: z	: z	: z	: z	: z	1385 	1385 	1385 	1385 	1385 	1385 	: z
A,TOTAL,KM2,NL126	: z	: z	: z	: z	: z	1006 	1006 	1006 	1006 	1006 	1006 	1006 
A,TOTAL,KM2,NL127	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1550 p
A,TOTAL,KM2,NL128	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1454 p
A,TOTAL,KM2,NL13	2680 	2680 	2680 	2680 	2680 	2680 	2680 	2680 	2680 	2680 	2680 	2680 
A,TOTAL,KM2,NL131	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 
A,TOTAL,KM2,NL132	924 	924 	924 	924 	924 	924 	924 	924 	924 	924 	924 	924 
A,TOTAL,KM2,NL133	695 	695 	695 	695 	695 	695 	695 	695 	695 	695 	695 	695 
A,TOTAL,KM2,NL2	10971 	10971 	10971 	10971 	10971 	10971 	10971 	10971 	10971 	10971 	10971 	10971 
A,TOTAL,KM2,NL21	3421 	3421 	3421 	3421 	3421 	3421 	3421 	3421 	3421 	3421 	3421 	3421 
A,TOTAL,KM2,NL211	1492 	1492 	1492 	1492 	1492 	1492 	1492 	1492 	1492 	1492 	1492 	1492 
A,TOTAL,KM2,NL212	425 	425 	425 	425 	425 	425 	425 	425 	425 	425 	425 	425 
A,TOTAL,KM2,NL213	1504 	1504 	1504 	1504 	1504 	1504 	1504 	1504 	1504 	1504 	1504 	1504 
A,TOTAL,KM2,NL22	5137 	5137 	5137 	5137 	5137 	5137 	5137 	5137 	5137 	5137 	5137 	5137 
A,TOTAL,KM2,NL221	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 	1861 
A,TOTAL,KM2,NL224	756 	756 	756 	756 	756 	756 	756 	756 	756 	756 	756 	756 
